tot_purch_amt,sale_month,cty_twnshp_nme,crv_nbr,df.sale_year,dates,quarter
365000,6,St. Paul,682118,2017,2017-08-07,Q3-2017
205000,6,St. Paul,682127,2017,2017-10-06,Q4-2017
1030000,6,Minneapolis,682151,2017,2017-08-30,Q3-2017
882500,6,St. Paul,682161,2017,2017-07-26,Q3-2017
193000,6,Minneapolis,682194,2017,2017-09-22,Q3-2017
441000,6,Minneapolis,682204,2017,2017-09-22,Q3-2017
530000,6,Minneapolis,682222,2017,2017-10-18,Q4-2017
660000,6,Minneapolis,682251,2017,2017-10-18,Q4-2017
850000,6,Minneapolis,682259,2017,2017-08-28,Q3-2017
183000,6,St. Paul,682293,2017,2017-09-20,Q3-2017
213000,6,Minneapolis,682294,2017,2017-10-18,Q4-2017
258500,6,St. Paul,682296,2017,2017-08-11,Q3-2017
335000,6,Minneapolis,682310,2017,2017-10-18,Q4-2017
130000,6,St. Paul,682325,2017,2017-07-26,Q3-2017
345000,6,Minneapolis,682337,2017,2017-09-26,Q3-2017
165000,6,Minneapolis,682344,2017,2017-10-20,Q4-2017
77000,6,St. Paul,682346,2017,2017-07-25,Q3-2017
2.00E+05,6,St. Paul,682354,2017,2017-07-18,Q3-2017
399000,6,Minneapolis,682394,2017,2017-09-14,Q3-2017
82500,6,St. Paul,682426,2017,2017-08-01,Q3-2017
151000,6,St. Paul,682436,2017,2017-10-17,Q4-2017
150000,6,Minneapolis,682455,2017,2017-09-14,Q3-2017
263000,6,St. Paul,682470,2017,2017-09-20,Q3-2017
254000,6,Minneapolis,682506,2017,2017-09-22,Q3-2017
158000,6,St. Paul,682507,2017,2017-09-20,Q3-2017
569000,6,St. Paul,682530,2017,2017-08-01,Q3-2017
265000,6,Minneapolis,682541,2017,2017-09-27,Q3-2017
410000,6,Minneapolis,682552,2017,2017-10-13,Q4-2017
180250,6,Minneapolis,682569,2017,2017-09-22,Q3-2017
640000,6,St. Paul,682589,2017,2017-10-11,Q4-2017
167000,6,St. Paul,682592,2017,2017-09-22,Q3-2017
69900,6,Minneapolis,682619,2017,2017-09-22,Q3-2017
142500,6,Minneapolis,682634,2017,2017-09-22,Q3-2017
272000,6,Minneapolis,682636,2017,2017-09-25,Q3-2017
225000,6,Minneapolis,682637,2017,2017-10-18,Q4-2017
133000,6,St. Paul,682658,2017,2017-10-25,Q4-2017
175000,6,St. Paul,682659,2017,2017-08-01,Q3-2017
235000,6,Minneapolis,682688,2017,2017-09-25,Q3-2017
334000,6,Minneapolis,682693,2017,2017-10-20,Q4-2017
195000,6,Minneapolis,682694,2017,2017-09-26,Q3-2017
255000,6,Minneapolis,682710,2017,2017-10-18,Q4-2017
252250,6,Minneapolis,682721,2017,2017-10-18,Q4-2017
340000,6,St. Paul,682766,2017,2017-07-18,Q3-2017
215000,6,Minneapolis,682773,2017,2017-10-18,Q4-2017
157500,6,Minneapolis,682792,2017,2017-09-25,Q3-2017
320000,6,St. Paul,682800,2017,2017-07-28,Q3-2017
110000,6,St. Paul,682805,2017,2017-09-29,Q3-2017
361000,6,Minneapolis,682833,2017,2017-09-25,Q3-2017
159500,6,Minneapolis,682848,2017,2018-10-31,Q4-2018
166000,6,St. Paul,682854,2017,2017-07-18,Q3-2017
745000,6,Minneapolis,682874,2017,2017-10-18,Q4-2017
188000,6,Minneapolis,682882,2017,2017-09-25,Q3-2017
205000,6,St. Paul,682972,2017,2017-10-12,Q4-2017
245000,6,St. Paul,682998,2017,2017-07-18,Q3-2017
148000,7,St. Paul,683007,2017,2017-07-28,Q3-2017
200800,7,St. Paul,683012,2017,2017-07-26,Q3-2017
125000,6,Minneapolis,683019,2017,2017-09-26,Q3-2017
4.00E+05,7,Minneapolis,683036,2017,2017-09-27,Q3-2017
241460,6,Minneapolis,683041,2017,2017-10-18,Q4-2017
196000,7,St. Paul,683047,2017,2017-10-18,Q4-2017
172000,6,St. Paul,683065,2017,2017-10-18,Q4-2017
269900,7,Minneapolis,683092,2017,2017-10-18,Q4-2017
237000,6,St. Paul,683093,2017,2017-08-21,Q3-2017
250000,6,St. Paul,683107,2017,2017-09-15,Q3-2017
96000,7,St. Paul,683144,2017,2017-09-25,Q3-2017
240000,6,St. Paul,683146,2017,2017-08-07,Q3-2017
291630,7,Minneapolis,683153,2017,2017-10-29,Q4-2017
159900,7,St. Paul,683187,2017,2017-10-18,Q4-2017
144600,7,Minneapolis,683312,2017,2017-10-18,Q4-2017
451000,7,St. Paul,683350,2017,2017-10-02,Q4-2017
226800,7,Minneapolis,683355,2017,2017-09-25,Q3-2017
298000,7,Minneapolis,683372,2017,2017-10-18,Q4-2017
402750,7,St. Paul,683396,2017,2017-10-19,Q4-2017
460000,7,Minneapolis,683427,2017,2017-10-18,Q4-2017
181000,6,Minneapolis,683432,2017,2017-09-26,Q3-2017
160000,6,Minneapolis,683450,2017,2017-10-18,Q4-2017
85500,6,St. Paul,683451,2017,2017-10-09,Q4-2017
239000,7,Minneapolis,683456,2017,2017-10-18,Q4-2017
155900,7,Minneapolis,683485,2017,2017-09-14,Q3-2017
410000,7,St. Paul,683517,2017,2017-09-05,Q3-2017
248000,7,St. Paul,683525,2017,2017-08-24,Q3-2017
